experiment,discount,horizon,c_samples,r_samples,run,t,r,std,q_r,q_std,sample,q_sample
tiger,0.9,1,5,250,2,35,-1.6600000000000001,7.452811550012519,-2.32,7.497839688870388,5,5
tiger,0.9,1,5,250,2,36,-4.12,7.322950225148332,-2.9800000000000004,7.484624239065044,5,5
tiger,0.9,1,5,250,2,37,-2.0799999999999996,7.488230765674893,-1.6600000000000001,7.452811550012519,5,5
tiger,0.9,1,5,250,2,38,-2.5,7.5,-3.1,7.475961476626268,5,5
tiger,0.9,1,5,250,2,39,-1.0,0.0,-2.26,7.496159016456361,5,5
tiger,0.9,1,5,250,2,40,-1.0,0.0,-2.7399999999999998,7.496159016456361,5,5
tiger,0.9,1,5,250,2,41,4.34,3.0764264983906244,-1.8400000000000003,7.470903559811223,5,5
tiger,0.9,1,5,250,2,42,-1.0,0.0,-2.26,7.496159016456361,5,5
tiger,0.9,1,5,250,2,43,3.08,5.011347124277064,-2.8000000000000003,7.493997598078078,5,5
tiger,0.9,1,5,250,2,44,-1.3000000000000003,7.40337760755184,-2.1399999999999997,7.491355017618642,5,5
tiger,0.9,1,5,250,2,45,-1.0,0.0,-2.56,7.499759996159876,5,5
tiger,0.9,1,5,250,2,46,3.0199999999999996,5.077361519529608,-2.2000000000000006,7.493997598078078,5,5
tiger,0.9,1,5,250,2,47,-3.5799999999999996,7.421832657773955,-1.6,7.445804187594514,5,5
tiger,0.9,1,5,250,2,48,-2.9800000000000004,7.484624239065044,-3.1600000000000006,7.470903559811222,5,5
tiger,0.9,1,5,250,2,49,-1.7800000000000007,7.4653600047151105,-1.7800000000000002,7.4653600047151105,5,5
tiger,0.9,1,5,250,3,0,5.0,0.0,-1.06,7.360461942025107,5,5
tiger,0.9,1,5,250,3,1,-2.74,7.496159016456361,-3.3400000000000003,7.452811550012519,5,5
tiger,0.9,1,5,250,3,2,-2.56,7.499759996159876,-1.0,0.0,5,5
tiger,0.9,1,5,250,3,3,-2.0799999999999996,7.488230765674893,3.5,4.5,5,5
tiger,0.9,1,5,250,3,4,-1.9599999999999995,7.480534740244176,-2.1399999999999997,7.491355017618642,5,5
tiger,0.9,1,5,250,3,5,-1.0,0.0,-2.44,7.499759996159876,5,5
tiger,0.9,1,5,250,3,6,2.24,5.81226289838992,-1.0,0.0,5,5
tiger,0.9,1,5,250,3,7,-3.0400000000000005,7.480534740244176,3.3200000000000003,4.730496802662485,5,5
tiger,0.9,1,5,250,3,8,-0.6399999999999997,7.265700241545889,-1.0,0.0,5,5
tiger,0.9,1,5,250,3,9,-1.6600000000000006,7.452811550012519,3.8000000000000007,4.069397989875161,5,5
tiger,0.9,1,5,250,3,10,-1.0,0.0,-1.3599999999999999,7.41285370151064,5,5
tiger,0.9,1,5,250,3,11,2.12,5.908096140043763,-1.6,7.445804187594514,5,5
tiger,0.9,1,5,250,3,12,-2.1999999999999997,7.493997598078078,-2.8000000000000003,7.493997598078078,5,5
tiger,0.9,1,5,250,3,13,-3.5799999999999996,7.421832657773955,-2.1399999999999997,7.491355017618642,5,5
tiger,0.9,1,5,250,3,14,-1.54,7.438306258819948,-1.0,0.0,5,5
tiger,0.9,1,5,250,3,15,-2.44,7.499759996159876,2.0599999999999996,5.954527689078287,5,5
tiger,0.9,1,5,250,3,16,-1.48,7.430316278598106,-3.04,7.480534740244176,5,5
tiger,0.9,1,5,250,3,17,-1.0,0.0,-3.7000000000000006,7.403377607551839,5,5
tiger,0.9,1,5,250,3,18,2.72,5.385313361356051,-1.0,0.0,5,5
tiger,0.9,1,5,250,3,19,-3.5799999999999996,7.421832657773955,3.5000000000000004,4.5,5,5
tiger,0.9,1,5,250,3,20,-2.8600000000000003,7.491355017618642,-1.9000000000000004,7.475961476626268,5,5
tiger,0.9,1,5,250,3,21,-1.0,0.0,-1.6600000000000001,7.452811550012519,5,5
tiger,0.9,1,5,250,3,22,2.72,5.385313361356051,-2.38,7.4990399385521345,5,5
tiger,0.9,1,5,250,3,23,-1.0,0.0,-2.62,7.4990399385521345,5,5
tiger,0.9,1,5,250,3,24,2.3000000000000007,5.762811813689564,-2.1400000000000006,7.491355017618642,5,5
tiger,0.9,1,5,250,3,25,-1.7800000000000007,7.4653600047151105,-2.98,7.484624239065044,5,5
tiger,0.9,1,5,250,3,26,-1.48,7.430316278598106,-2.32,7.497839688870388,5,5
tiger,0.9,1,5,250,3,27,-2.0200000000000005,7.484624239065044,-2.0800000000000005,7.488230765674893,5,5
tiger,0.9,1,5,250,3,28,-2.5,7.5,-2.0800000000000005,7.488230765674893,5,5
tiger,0.9,1,5,250,3,29,-1.0,0.0,-1.7800000000000002,7.4653600047151105,5,5
tiger,0.9,1,5,250,3,30,3.08,5.011347124277064,-2.44,7.499759996159876,5,5
tiger,0.9,1,5,250,3,31,-1.0,0.0,-1.0,0.0,5,5
tiger,0.9,1,5,250,3,32,2.96,5.141828468550853,3.6800000000000006,4.2494234903101855,5,5
tiger,0.9,1,5,250,3,33,-3.4600000000000004,7.438306258819948,-2.38,7.4990399385521345,5,5
tiger,0.9,1,5,250,3,34,-2.5,7.5,-2.0799999999999996,7.488230765674893,5,5
tiger,0.9,1,5,250,3,35,-1.0,0.0,-3.7000000000000006,7.403377607551839,5,5
tiger,0.9,1,5,250,3,36,3.2,4.874423042781576,-4.0600000000000005,7.335966194033339,5,5
tiger,0.9,1,5,250,3,37,-1.2400000000000002,7.393402464359694,-2.62,7.4990399385521345,5,5
tiger,0.9,1,5,250,3,38,-3.2800000000000002,7.4593297286016265,-1.6600000000000001,7.452811550012519,5,5
tiger,0.9,1,5,250,3,39,-1.0,0.0,-2.0200000000000005,7.484624239065044,5,5
tiger,0.9,1,5,250,3,40,3.0199999999999996,5.077361519529608,-1.0,0.0,5,5
tiger,0.9,1,5,250,3,41,-1.0,0.0,2.72,5.385313361356051,5,5
tiger,0.9,1,5,250,3,42,2.78,5.326499788791885,-1.9000000000000004,7.475961476626268,5,5
tiger,0.9,1,5,250,3,43,-1.3000000000000003,7.40337760755184,-2.26,7.496159016456361,5,5
tiger,0.9,1,5,250,3,44,-2.32,7.497839688870388,-2.8600000000000003,7.491355017618642,5,5
tiger,0.9,1,5,250,3,45,-1.3000000000000003,7.40337760755184,-2.44,7.499759996159876,5,5
tiger,0.9,1,5,250,3,46,-2.38,7.4990399385521345,-2.74,7.496159016456361,5,5
tiger,0.9,1,5,250,3,47,-1.9599999999999995,7.480534740244176,-1.8400000000000003,7.470903559811223,5,5
tiger,0.9,1,5,250,3,48,-2.0799999999999996,7.488230765674893,-1.3600000000000003,7.41285370151064,5,5
tiger,0.9,1,5,250,3,49,-2.56,7.499759996159876,-2.86,7.491355017618642,5,5
tiger,0.9,1,5,250,4,0,-1.0,0.0,-1.0,0.0,5,5
