experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
tiger,0.9,2,5,250,4,9,3.4400000000000004,4.578908166801339,4.52,2.64,9,15.620796778634617,9.308327196116974
tiger,0.9,2,5,250,4,10,-4.0,7.3484692283495345,-2.26,7.496159016456361,8,12.048725215424472,8.543582764609903
tiger,0.9,2,5,250,4,11,-1.9599999999999995,7.480534740244176,-1.0,0.0,8,13.013088372181569,8.529341682900068
tiger,0.9,2,5,250,4,12,-2.68,7.497839688870388,2.3600000000000003,5.712302512997714,9,12.135274428613968,9.182537143796793
tiger,0.9,2,5,250,4,13,-1.0,0.0,-1.0,0.0,8,12.257323313036196,8.494891779070517
tiger,0.9,2,5,250,4,14,1.9399999999999995,6.044534721548053,2.8400000000000003,5.266345981798005,8,17.76336232057298,8.822685149771702
tiger,0.9,2,5,250,4,15,-2.56,7.499759996159876,-1.0,0.0,8,12.071340555797553,8.52603944958038
tiger,0.9,2,5,250,4,16,-1.0,0.0,2.72,5.385313361356051,9,12.118053477682297,8.992398354064655
tiger,0.9,2,5,250,4,17,2.72,5.385313361356051,-1.0,0.0,8,15.846931983584323,8.51128994545991
tiger,0.9,2,5,250,4,18,-1.0,0.0,-1.0,0.0,8,12.683740428133122,8.549675152363667
tiger,0.9,2,5,250,4,19,2.96,5.141828468550853,4.279999999999999,3.2064934118129726,9,15.501166229430307,9.38474935986704
tiger,0.9,2,5,250,4,20,-2.1400000000000006,7.491355017618642,-3.88,7.371946825635681,8,12.081759225212414,8.596145100337647
tiger,0.9,2,5,250,4,21,-1.0,0.0,-1.0,0.0,7,12.055913525968204,8.577125430314453
tiger,0.9,2,5,250,4,22,2.54,5.554133595800518,-1.0,0.0,8,13.427743665117724,8.610365541197877
tiger,0.9,2,5,250,4,23,-2.0800000000000005,7.488230765674893,4.88,1.3362634470792052,9,12.313405540883306,9.220540078901967
tiger,0.9,2,5,250,4,24,-1.0,0.0,-1.0,0.0,8,12.039348382267256,8.511751858251248
tiger,0.9,2,5,250,4,25,-1.0,0.0,3.0199999999999996,5.077361519529608,8,13.070617018539894,8.637833173675151
tiger,0.9,2,5,250,4,26,-2.74,7.496159016456361,-2.1999999999999997,7.493997598078078,8,12.301949211627445,8.49222869658307
