,experiment,discount,horizon,c_sample,r_sample,run,t,r,std,q_r,q_std,q_sample,c_l,q_l
246,tiger,0.9,1,5,250,4,46,-3.64,7.41285370151064,-2.26,7.496159016456361,5,0,0
247,tiger,0.9,1,5,250,4,47,-3.82,7.382926249123717,-1.66,7.452811550012519,5,0,0
248,tiger,0.9,1,5,250,4,48,-3.3400000000000003,7.452811550012519,-2.68,7.497839688870388,5,0,0
249,tiger,0.9,1,5,250,4,49,-3.5200000000000005,7.430316278598105,-2.8600000000000003,7.491355017618642,5,0,0
250,tiger,0.9,1,5,250,5,0,1.9400000000000004,6.044534721548053,2.1800000000000006,5.860682554105792,5,0,0
251,tiger,0.9,1,5,250,5,1,-2.8600000000000003,7.491355017618642,-2.74,7.496159016456361,5,0,0
252,tiger,0.9,1,5,250,5,2,-2.38,7.4990399385521345,-2.5,7.5,5,0,0
253,tiger,0.9,1,5,250,5,3,-1.0,0.0,-3.3400000000000003,7.452811550012519,5,0,0
254,tiger,0.9,1,5,250,5,4,2.48,5.607994293863003,-2.74,7.496159016456361,5,0,0
255,tiger,0.9,1,5,250,5,5,-1.0,0.0,-2.74,7.496159016456361,5,0,0
